Tag Name,Tag (Hex),Tag (Decimal)
ExposureTime,829a,33434
FNumber,829d,33437
ExposureProgram,8822,34850
SpectralSensitivity,8824,34852
PhotographicSensitivity,8827,34855
OECF,8828,34856
SensitivityType,8830,34864
StandardOutputSensitivity,8831,34865
RecommendedExposureIndex,8832,34866
ISOSpeed,8833,34867
ISOSpeedLatitudeyyy,8834,34868
ISOSpeedLatitudezzz,8835,34869
ExifVersion,9000,36864
DateTimeOriginal,9003,36867
DateTimeDigitized,9004,36868
OffsetTime,9010,36880
OffsetTimeOriginal,9011,36881
OffsetTimeDigitized,9012,36882
ComponentsConfiguration,9101,37121
CompressedBitsPerPixel,9102,37122
ShutterSpeedValue,9201,37377
ApertureValue,9202,37378
BrightnessValue,9203,37379
ExposureBiasValue,9204,37380
MaxApertureValue,9205,37381
SubjectDistance,9206,37382
MeteringMode,9207,37383
LightSource,9208,37384
Flash,9209,37385
FocalLength,920a,37386
SubjectArea,9214,37396
MakerNote,927c,37500
UserComment,9286,37510
SubSecTime,9290,37520
SubSecTimeOriginal,9291,37521
SubSecTimeDigitized,9292,37522
Temperature,9400,37888
Humidity,9401,37889
Pressure,9402,37890
WaterDepth,9403,37891
Acceleration,9404,37892
CameraElevationAngle,9405,37893
FlashpixVersion,a000,40960
ColorSpace,a001,40961
PixelXDimension,a002,40962
PixelYDimension,a003,40963
RelatedSoundFile,a004,40964
InteroperabilityIFDPointer,a005,40965
FlashEnergy,a20b,41483
SpatialFrequencyResponse,a20c,41484
FocalPlaneXResolution,a20e,41486
FocalPlaneYResolution,a20f,41487
FocalPlaneResolutionUnit,a210,41488
SubjectLocation,a214,41492
ExposureIndex,a215,41493
SensingMethod,a217,41495
FileSource,a300,41728
SceneType,a301,41729
CFAPattern,a302,41730
CustomRendered,a401,41985
ExposureMode,a402,41986
WhiteBalance,a403,41987
DigitalZoomRatio,a404,41988
FocalLengthIn35mmFilm,a405,41989
SceneCaptureType,a406,41990
GainControl,a407,41991
Contrast,a408,41992
Saturation,a409,41993
Sharpness,a40a,41994
DeviceSettingDescription,a40b,41995
SubjectDistanceRange,a40c,41996
ImageUniqueID,a420,42016
CameraOwnerName,a430,42032
BodySerialNumber,a431,42033
LensSpecification,a432,42034
LensMake,a433,42035
LensModel,a434,42036
LensSerialNumber,a435,42037
ImageTitle,a436,42038
Photographer,a437,42039
ImageEditor,a438,42040
CameraFirmware,a439,42041
RAWDevelopingSoftware,a43a,42042
ImageEditingSoftware,a43b,42043
MetadataEditingSoftware,a43c,42044
CompositeImage,a460,42080
SourceImageNumberOfCompositeImage,a461,42081
SourceExposureTimesOfCompositeImage,a462,42082
Gamma,a500,42240
